Name,Years_Active,Debut_Year,Last_Year,Positions,Bats,Throws,Height,Weight,WAR,AB,H,HR,BA,R,RBI,SB,OBP,SLG,OPS,OPS+
Jackie Robinson,15,1942,1956," Second Baseman, Third Baseman and First Baseman",Right,Right,180,88,63.9,4997,1563,141,0.313,972,761,200,0.41,0.477,0.887,133
Wilbert Robinson,17,1886,1902, Catcher,Right,Right,173,97,6.7,5075,1388,18,0.273,637,722,196,0.316,0.346,0.662,83
Iván Rodríguez,21,1991,2011, Catcher,Right,Right,175,92,68.7,9592,2844,311,0.296,1354,1332,127,0.334,0.464,0.798,106
Scott Rolen,17,1996,2012, Third Baseman,Right,Right,193,111,70.1,7398,2077,316,0.281,1211,1287,118,0.364,0.49,0.855,122
Edd Roush,19,1913,1931, Centerfielder,Left,Left,180,77,45.8,7363,2376,68,0.323,1099,981,268,0.369,0.446,0.815,126
Ryne Sandberg,17,1981,1997, Second Baseman and Third Baseman,Right,Right,185,79,67.9,8385,2386,282,0.285,1318,1061,344,0.344,0.452,0.795,114
Ron Santo,15,1960,1974, Third Baseman,Right,Right,183,86,70.5,8143,2254,342,0.277,1138,1331,35,0.362,0.464,0.826,125
Louis Santop,4,1923,1926, Catcher,Left,Right,188,90,2.5,350,111,7,0.317,52,65,9,0.363,0.451,0.814,126
Ray Schalk,18,1912,1929, Catcher,Right,Right,175,74,33.0,5306,1345,11,0.253,579,593,177,0.34,0.316,0.656,83
Mike Schmidt,18,1972,1989, Third Baseman and First Baseman,Right,Right,188,88,106.9,8352,2234,548,0.267,1506,1595,174,0.38,0.527,0.908,148
Red Schoendienst,19,1945,1963, Second Baseman and Leftfielder,Both,Right,183,77,44.8,8479,2449,84,0.289,1223,773,89,0.337,0.387,0.724,94
Joe Sewell,14,1920,1933, Shortstop and Third Baseman,Left,Right,168,70,54.7,7132,2226,49,0.312,1141,1054,74,0.391,0.413,0.804,109
Al Simmons,21,1924,1944, Outfielder,Right,Right,180,86,68.3,8759,2927,307,0.334,1507,1828,88,0.38,0.535,0.915,133
Ted Simmons,21,1968,1988, Catcher and First Baseman,Both,Right,180,87,50.4,8680,2472,248,0.285,1074,1389,21,0.348,0.437,0.785,118
George Sisler,16,1915,1930, First Baseman,Left,Left,180,77,57.2,8267,2812,102,0.34,1284,1178,375,0.379,0.468,0.847,125
Enos Slaughter,22,1938,1959, Rightfielder,Left,Right,175,81,57.6,7946,2383,169,0.3,1247,1304,71,0.382,0.453,0.834,124
Ozzie Smith,19,1978,1996, Shortstop,Both,Right,180,68,76.9,9396,2460,28,0.262,1257,793,580,0.337,0.328,0.666,87
Duke Snider,18,1947,1964, Centerfielder,Left,Right,183,81,65.9,7161,2116,407,0.295,1259,1333,99,0.38,0.54,0.919,140
Billy Southworth,17,1913,1929, Rightfielder,Left,Right,175,77,21.7,4359,1296,52,0.297,661,561,138,0.359,0.415,0.773,111
Tris Speaker,22,1907,1928, Centerfielder,Left,Left,180,87,134.9,10195,3514,117,0.345,1882,1531,436,0.428,0.5,0.928,158
Willie Stargell,21,1962,1982, Leftfielder and First Baseman,Left,Left,188,85,57.6,7927,2232,475,0.282,1194,1540,17,0.36,0.529,0.889,147
Turkey Stearnes,18,1923,1940, Centerfielder,Left,Left,180,79,49.5,3807,1326,187,0.348,917,1009,130,0.417,0.616,1.032,177
Casey Stengel,14,1912,1925, Rightfielder,Left,Left,180,79,20.2,4288,1219,60,0.284,575,535,131,0.356,0.41,0.766,120
Mule Suttles,21,1924,1944, First Baseman and Leftfielder,Right,Right,185,90,36.6,3220,1093,180,0.339,720,883,85,0.41,0.62,1.03,172
Ichiro Suzuki,19,2001,2019, Rightfielder,Left,Right,180,79,60.0,9934,3089,117,0.311,1420,780,509,0.355,0.402,0.757,107
Ben Taylor,10,1920,1929, First Baseman,Left,Left,180,79,18.7,2329,786,26,0.337,378,449,36,0.398,0.461,0.858,133
Bill Terry,14,1923,1936, First Baseman,Left,Left,185,90,56.6,6428,2193,154,0.341,1120,1078,56,0.393,0.506,0.899,136
Frank Thomas,19,1990,2008, Designated Hitter and First Baseman,Right,Right,196,108,73.8,8199,2468,521,0.301,1494,1704,32,0.419,0.555,0.974,156
Jim Thome,22,1991,2012," First Baseman, Designated Hitter and Third Baseman",Left,Right,193,113,73.1,8422,2328,612,0.276,1583,1699,19,0.402,0.554,0.956,147
Sam Thompson,22,1885,1906, Rightfielder,Left,Right,188,93,44.4,5998,1988,126,0.331,1261,1308,232,0.384,0.505,0.89,147
Joe Tinker,15,1902,1916, Shortstop,Right,Right,175,79,53.2,6441,1690,31,0.262,774,785,336,0.308,0.353,0.661,96
Joe Torre,18,1960,1977," Catcher, First Baseman and Third Baseman",Right,Right,188,96,57.6,7874,2342,252,0.297,996,1185,23,0.365,0.452,0.817,129
Alan Trammell,20,1977,1996, Shortstop,Right,Right,183,74,70.6,8288,2365,185,0.285,1231,1003,236,0.352,0.415,0.767,110
Pie Traynor,18,1920,1937, Third Baseman,Right,Right,183,77,38.7,7559,2416,58,0.32,1183,1273,158,0.362,0.435,0.797,107
Arky Vaughan,17,1932,1948, Shortstop and Third Baseman,Left,Right,178,79,77.9,6622,2103,96,0.318,1173,926,118,0.406,0.453,0.859,136
Honus Wagner,21,1897,1917," Shortstop, Rightfielder and First Baseman",Right,Right,180,90,131.0,10439,3420,101,0.328,1739,1732,723,0.391,0.467,0.858,151
